# Starting Positions
# X,Y,Z,Az,Pol,CN
128.79,60.51,131.80,18.19,291.25,1.00
124.69,66.80,131.40,31.79,153.74,1.00
132.45,66.22,131.00,41.41,16.23,1.00
125.24,56.21,130.60,49.46,238.72,1.00
126.86,73.83,130.20,56.63,101.22,1.00
133.04,57.66,129.80,63.26,323.71,1.00
121.48,62.79,129.40,69.51,186.20,1.00
132.47,72.73,129.00,75.52,48.69,1.00
128.14,52.14,128.60,81.37,271.18,1.00
123.17,72.67,128.20,87.13,133.68,1.00
134.98,63.20,127.80,92.87,356.17,1.00
122.60,56.59,127.40,98.63,218.66,1.00
129.04,75.48,127.00,104.48,81.15,1.00
131.63,54.64,126.60,110.49,303.65,1.00
121.93,66.57,126.20,116.74,166.14,1.00
133.13,68.80,125.80,123.37,28.63,1.00
126.28,55.37,125.40,130.54,251.12,1.00
126.15,71.27,125.00,138.59,113.61,1.00
131.37,61.44,124.60,148.21,336.11,1.00
125.93,62.80,124.20,161.81,198.60,1.00
128.79,124.51,131.80,18.19,291.25,2.00
124.69,130.80,131.40,31.79,153.74,2.00
132.45,130.22,131.00,41.41,16.23,2.00
125.24,120.21,130.60,49.46,238.72,2.00
126.86,137.83,130.20,56.63,101.22,2.00
133.04,121.66,129.80,63.26,323.71,2.00
121.48,126.79,129.40,69.51,186.20,2.00
132.47,136.73,129.00,75.52,48.69,2.00
128.14,116.14,128.60,81.37,271.18,2.00
123.17,136.67,128.20,87.13,133.68,2.00
134.98,127.20,127.80,92.87,356.17,2.00
122.60,120.59,127.40,98.63,218.66,2.00
129.04,139.48,127.00,104.48,81.15,2.00
131.63,118.64,126.60,110.49,303.65,2.00
121.93,130.57,126.20,116.74,166.14,2.00
133.13,132.80,125.80,123.37,28.63,2.00
126.28,119.37,125.40,130.54,251.12,2.00
126.15,135.27,125.00,138.59,113.61,2.00
131.37,125.44,124.60,148.21,336.11,2.00
125.93,126.80,124.20,161.81,198.60,2.00
128.79,188.51,131.80,18.19,291.25,3.00
124.69,194.80,131.40,31.79,153.74,3.00
132.45,194.22,131.00,41.41,16.23,3.00
125.24,184.21,130.60,49.46,238.72,3.00
126.86,201.83,130.20,56.63,101.22,3.00
133.04,185.66,129.80,63.26,323.71,3.00
121.48,190.79,129.40,69.51,186.20,3.00
132.47,200.73,129.00,75.52,48.69,3.00
128.14,180.14,128.60,81.37,271.18,3.00
123.17,200.67,128.20,87.13,133.68,3.00
134.98,191.20,127.80,92.87,356.17,3.00
122.60,184.59,127.40,98.63,218.66,3.00
129.04,203.48,127.00,104.48,81.15,3.00
131.63,182.64,126.60,110.49,303.65,3.00
121.93,194.57,126.20,116.74,166.14,3.00
133.13,196.80,125.80,123.37,28.63,3.00
126.28,183.37,125.40,130.54,251.12,3.00
126.15,199.27,125.00,138.59,113.61,3.00
131.37,189.44,124.60,148.21,336.11,3.00
125.93,190.80,124.20,161.81,198.60,3.00
